"THE_COUNTY","year","month","total_prcp","tmax","tmin"
"SANTA CRUZ",2003,9,0,27.2904489556966,11.8156101409494
"SANTA CRUZ",2003,10,9.60495533449147,25.4601208599479,10.263150916577
"SANTA CRUZ",2003,11,81.6071922857413,16.8672550564445,5.21493881938056
"SANTA CRUZ",2003,12,298.422271037152,14.4955027027726,5.43289387091713
"SANTA CRUZ",2004,1,79.5879859846612,14.5950702656867,4.04992195737547
"SANTA CRUZ",2004,2,186.01274692423,15.0090361524947,4.67156823902501
"SANTA CRUZ",2004,3,28.3118009034603,22.7018706243001,7.01965013274875
"SANTA CRUZ",2004,4,18.6108480541372,21.752458591403,7.01002330892316
"SANTA CRUZ",2004,5,1.40355116139851,23.062421262207,8.1637678162258
"SANTA CRUZ",2004,6,0,24.0481046375381,9.89747055783753
"SANTA CRUZ",2004,7,0.288675193055611,25.0011353331098,12.182861327182
"SANTA CRUZ",2004,8,0,26.2242818458093,12.4018000810479
"SANTA CRUZ",2004,9,0.68605804034716,27.618303594948,10.2391940910246
"SANTA CRUZ",2004,10,157.695856742548,21.615625903346,8.54973702433475
"SANTA CRUZ",2004,11,54.1708478904233,17.3200497071461,5.15777912000123
"SANTA CRUZ",2004,12,235.327769571839,16.3681247191563,4.25020636706224
"SANTA CRUZ",2005,1,176.007407671148,15.6498142859469,4.55603634477397
"SANTA CRUZ",2005,2,160.045380023594,16.6024539181863,6.54344065144196
"SANTA CRUZ",2005,3,202.836103323302,18.9627782670734,7.15098338206966
"SANTA CRUZ",2005,4,71.489218611676,19.2033513870787,5.71433656519288
"SANTA CRUZ",2005,5,34.2247641665389,21.9086154146174,9.2276784367817
"SANTA CRUZ",2005,6,23.0321844476269,22.7781241322042,9.72142400898579
"SANTA CRUZ",2005,7,0.141865258897572,26.1271827679169,12.5284471056583
"SANTA CRUZ",2005,8,0,26.0168972830487,11.7778992603881
"SANTA CRUZ",2005,9,0.262539725317415,24.1768618761359,9.5886798249566
"SANTA CRUZ",2005,10,3.21012565062874,22.9380281069904,7.73828718603443
"SANTA CRUZ",2005,11,60.8288287948903,20.8472784283609,6.34097055268078
"SANTA CRUZ",2005,12,362.337480614929,15.8013911199378,5.80652039131352
"SANTA CRUZ",2006,1,137.390011507379,15.1213235976226,3.95465778787916
"SANTA CRUZ",2006,2,75.0670804960846,17.9350106277039,3.93425857416398
